source,title,description,url,publishedAt
"{'id': None, 'name': 'Pypi.org'}",ai-edge-litert-nightly 2.0.4.dev20251013,LiteRT is for mobile and embedded devices.,https://pypi.org/project/ai-edge-litert-nightly/2.0.4.dev20251013/,2025-10-14T06:13:13Z
"{'id': None, 'name': 'Ndtvprofit.com'}",HCLTech Q2 Review: AI Led Growth Drives Record Win And Margin Momentum; IDBI Capital Upgrades Stock To 'Buy',"HCLTech Ltd. delivered a resilient Q2 FY26 performance, registering a 2.4%/4.6% QoQ/YoY revenue expansion in CC term, underpinned by broad-based momentum across IT, Business, and Engineering Services. Operating margin strengthened to 17.5%, reflecting improve…",https://www.ndtvprofit.com/research-reports/hcltech-q2-review-ai-led-growth-drives-record-win-and-margin-momentum-idbi-capital-upgrades-stock-to-buy,2025-10-14T06:13:11Z
"{'id': None, 'name': 'Independent.ie'}",The Big Tech Show: How to use Chat GPT for total beginners,What are the best tips for beginners using AI chat bots? Have AI videos featuring dead celebrities gone too far? And is the EU losing the tech race because of stringent regulations?,https://www.independent.ie/podcasts/the-big-tech-show/the-big-tech-show-how-to-use-chat-gpt-for-total-beginners/a1181924405.html,2025-10-14T06:13:03Z
"{'id': None, 'name': 'Realstorygroup.com'}",Time to Reconsider Your CMS Platform?,I’m very excited on your behalf about the next phase of enterprise customer content management,https://www.realstorygroup.com/Blog/time-reconsider-your-cms-platform,2025-10-14T06:11:11Z
"{'id': None, 'name': 'Yahoo Entertainment'}",Google says to invest $15 billion in AI data centre capacity in India's Andhra,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d976f3d7-714f-4585-8e42-85a65c921ce8,2025-10-14T06:10:41Z
"{'id': None, 'name': 'PCMag.com'}",HP Rolls Out AI-Powered Tools to Simplify Hybrid Work at Gitex 2025,"New displays, a proximity-aware dock, an AI development desktop, and expanded WXP remote support headline HP’s 14-item push into future-ready work.",https://me.pcmag.com/en/laptops/32869/hp-rolls-out-ai-powered-tools-to-simplify-hybrid-work-at-gitex-2025,2025-10-14T06:10:23Z
"{'id': 'rte', 'name': 'RTE'}",What could burst the AI bubble?,"As tech firms soar in value, there are now warnings of a possible rapid correction due to concerns about how realistic such valuations actually are",https://www.rte.ie/brainstorm/2025/1014/1538409-ai-tech-firms-valuations-bubble-open-ai-anthropic/,2025-10-14T06:10:06Z
"{'id': 'rte', 'name': 'RTE'}",Fall in job openings in third quarter - Morgan McKinley,"Professional job openings fell by 3% in the third quarter of 2025 compared with both the previous quarter and the same period last year, according to the latest Morgan McKinley Irish Employment Monitor.",https://www.rte.ie/news/business/2025/1014/1538414-morgan-mckinley-irish-employment-monitor/,2025-10-14T06:09:50Z
"{'id': None, 'name': 'PhoneArena'}","Miraculously, the Pixel 9 is now cheaper than it was on Prime Day","It's not every day you get to save a whopping $254 on one of the best Google Pixel phones, right?",https://www.phonearena.com/news/pixel-9-cheaper-than-on-prime-day_id174856,2025-10-14T06:09:36Z
"{'id': None, 'name': 'CNBC'}",Google to invest $10 billion in AI data center project in India,"Google plans to invest $10 billion into data center and AI infrastructure in Southern India, according to local officials.",https://www.cnbc.com/2025/10/14/google-to-invest-10-billion-in-ai-data-center-project-in-india.html,2025-10-14T06:08:54Z
